Station,Line
BATHURST STATION,BD
BAY STATION,BD
BROADVIEW STATION,BD
CASTLE FRANK STATION,BD
CHESTER STATION,BD
CHRISTIE STATION,BD
COXWELL STATION,BD
DONLANDS STATION,BD
DUFFERIN STATION,BD
BAYVIEW STATION,SHP
BESSARION STATION,SHP
DON MILLS STATION,SHP
DUPONT STATION,YU
EGLINTON STATION,YU
EGLINTON WEST STATION,YU
FINCH WEST STATION,YU
GLENCAIRN STATION,YU
HIGHWAY 407 STATION,YU
KING STATION,YU
LAWRENCE STATION,YU
LAWRENCE WEST STATION,YU
MUSEUM STATION,YU
NORTH YORK CTR STATION,YU
OSGOODE STATION,YU
PIONEER VILLAGE STATION,YU
QUEEN STATION,YU
QUEENS PARK STATION,YU
ROSEDALE STATION,YU
SHEPPARD WEST STATION,YU
ST ANDREW STATION,YU
ST CLAIR STATION,YU
ST CLAIR WEST STATION,YU
ST PATRICK STATION,YU
SUMMERHILL STATION,YU
UNION STATION,YU
VAUGHAN MC STATION,YU
WELLESLEY STATION,YU
WILSON STATION,YU
YORK MILLS STATION,YU
YORK UNIVERSITY STATION,YU
YORKDALE STATION,YU
SPADINA STATION,YU_BD
ST GEORGE STATION,YU_BD
SHEPPARD-YONGE STATION,YU_SHP
DUNDAS WEST STATION,BD
GREENWOOD STATION,BD
HIGH PARK STATION,BD
ISLINGTON STATION,BD
JANE STATION,BD
KEELE STATION,BD
KIPLING STATION,BD
LANSDOWNE STATION,BD
MAIN STREET STATION,BD
OLD MILL STATION,BD
OSSINGTON STATION,BD
PAPE STATION,BD
ROYAL YORK STATION,BD
RUNNYMEDE STATION,BD
SHERBOURNE STATION,BD
VICTORIA PARK STATION,BD
WARDEN STATION,BD
WOODBINE STATION,BD
KENNEDY STATION,BD_SRT
ELLESMERE STATION,SRT
LAWRENCE EAST STATION,SRT
MCCOWAN STATION,SRT
MIDLAND STATION,SRT
SCARB CTR STATION,SRT
LESLIE STATION,SHP
COLLEGE STATION,YU
DAVISVILLE STATION,YU
DOWNSVIEW PARK STATION,YU
DUNDAS STATION,YU
FINCH STATION,YU
BLOOR-YONGE STATION,YU_BD
SHEPPARD STATION,YU
BLOOR STATION,YU
YONGE BD STATION,BD
YONGE SHP STATION,SHP
KENNEDY BD STATION,BD
KENNEDY SRT STATION,SRT
ST GEORGE BD STATION,BD
ST GEORGE YU STATION,YU
SPADINA BD STATION,BD
SPADINA YU STATION,YU
SPADINA YUS STATION,YU
QUEEN'S PARK STATION,YU
ST CLAIR WEST TO UNION,YU
NORTH YORK CTR STATION,YU
ST GEORGE YUS STATION,YU
SHEPPARD WEST,YU
VAUGHAN MC STATION,YU
PIONEER VILLAGE STATIO,YU
YONGE UNIVERSITY LINE,YU
KENNEDY BD STATION,BD
YONGE BD STATION,BD
ST GEORGE BD STATION,BD
SPADINA BD STATION,BD
YONGE STATION,BD
BLOOR DANFORTH SUBWAY,BD
MCCOWAN STATION TO KEN,SRT
KENNEDY SRT STATION,SRT
SCARB CTR STATION,SRT
YUS/BD/SHEPPARD SUBWAY,ALL
SYSTEM WIDE,ALL
